nomgeo,year,area,luces,poblacion,censo
15001,2015,6.090316798,8.162558963,66200,NA
15002,2015,30.34780864,8.997980734,160927,NA
15003,2015,4.20947748,8.588896519,48918,NA
15004,2015,1.345522898,7.217288831,15449,NA
15005,2015,6.74684003,7.098107611,170256,NA
15006,2015,21.81224335,7.298244482,11347,NA
15007,2015,0.973613191,7.876731853,24568,NA
15008,2015,0.135168851,6.583000059,28111,NA
15009,2015,5.112761676,7.011174034,52581,NA
15010,2015,9.141991463,8.69079866,29829,NA
15011,2015,16.9295401,8.265567188,62696,NA
15012,2015,26.45762724,7.091719657,11547,NA
15013,2015,48.91847265,8.866814095,538556,NA
15014,2015,13.53548295,8.622053363,99914,NA
15015,2015,2.148723243,6.224561867,30649,NA
15016,2015,2.416320442,9.180253317,27729,NA
15017,2015,3.881650472,6.475349038,9871,NA
15018,2015,11.85793543,7.881967439,54423,NA
15019,2015,25.13203541,8.00859971,36233,NA
15020,2015,56.83976687,8.483145879,302874,NA
15021,2015,3.005421669,6.932379003,39403,NA
15022,2015,17.82347524,7.330753272,14242,NA
15023,2015,18.33058229,8.569998233,42672,NA
15024,2015,45.17052958,8.935974776,156680,NA
15025,2015,21.69263263,6.957541788,348034,NA
15026,2015,4.432389791,6.896578541,28387,NA
15027,2015,15.91787604,7.712643091,11330,NA
15028,2015,38.43131299,8.385069281,28996,NA
15029,2015,35.39159906,7.387414573,201206,NA
15030,2015,81.64252312,8.644209258,25240,NA
15031,2015,85.28283722,8.233007779,677256,NA
15032,2015,3.843755946,8.31516678,34437,NA
15033,2015,78.81090177,8.696906188,1674599,NA
15034,2015,1.523546411,6.546849668,9632,NA
15035,2015,16.39258437,7.769445834,124349,NA
15036,2015,5.68764963,9.22900921,43737,NA
15037,2015,14.42877528,7.936750179,269923,NA
15038,2015,1.148667034,8.34773403,11521,NA
15039,2015,14.92234336,7.451565934,507825,NA
15040,2015,4.612447001,7.035018477,35995,NA
15041,2015,0.462997088,8.524736733,6978,NA
15042,2015,27.82446877,7.657281753,152796,NA
15043,2015,4.731189461,8.043077384,29127,NA
15044,2015,69.86678451,8.701806096,29145,NA
15045,2015,5.241132521,6.649971206,88665,NA
15046,2015,0.759399196,7.929268687,19351,NA
15047,2015,12.45666145,7.931098935,73951,NA
15048,2015,11.40398888,8.221250315,66090,NA
15049,2015,3.869504162,6.870397181,13824,NA
15050,2015,2.10692678,7.286497439,25468,NA
15051,2015,14.41318683,7.747810447,145727,NA
15052,2015,0.892085989,7.042865864,27685,NA
15053,2015,49.61488943,9.561333613,55287,NA
15054,2015,59.57539422,7.734708306,235173,NA
15055,2015,19.17852563,7.556431765,12727,NA
15056,2015,6.622568629,7.865867489,30412,NA
15057,2015,38.43267458,8.233993178,886461,NA
15058,2015,83.54301687,8.591846041,1135026,NA
15059,2015,16.96702719,8.878146385,38254,NA
15060,2015,14.77674245,8.154839191,403346,NA
15061,2015,3.613297718,9.175151787,9321,NA
15062,2015,8.389448331,8.089975604,66732,NA
15063,2015,0.623748153,6.991499564,34020,NA
15064,2015,10.77106868,8.849593139,37356,NA
15065,2015,4.501457901,8.696723926,36029,NA
15066,2015,0.202281323,7.66802168,4479,NA
15067,2015,12.22200304,7.736996256,83938,NA
15068,2015,12.58622353,6.756761468,29302,NA
15069,2015,45.8046286,8.438116508,4216,NA
15070,2015,72.51310709,7.583620813,288308,NA
15071,2015,5.42183192,9.372592319,14139,NA
15072,2015,11.33925218,7.871369881,13479,NA
15073,2015,13.17599513,7.717117684,26906,NA
15074,2015,15.92469487,8.809667177,140088,NA
15075,2015,5.972365988,8.893586533,27036,NA
15076,2015,65.50373211,7.927371319,77004,NA
15077,2015,0.24716753,7.652438557,6299,NA
15078,2015,0.277036592,7.967459818,9861,NA
15079,2015,8.427733476,6.781013879,13215,NA
15080,2015,0.178366231,7.226449077,27490,NA
15081,2015,34.43441005,9.261771836,432214,NA
15082,2015,0.670812569,7.107385083,79493,NA
15083,2015,8.204951505,7.087737353,12698,NA
15084,2015,4.979515041,9.727310355,39172,NA
15085,2015,7.068356745,9.091781641,65453,NA
15086,2015,0.354518642,8.250681219,33241,NA
15087,2015,10.43011623,7.606269961,100505,NA
15088,2015,6.568194825,6.855602204,98129,NA
15089,2015,5.791962593,7.075575887,12169,NA
15090,2015,6.333037498,7.144890692,85650,NA
15091,2015,27.60812733,9.33216684,70219,NA
15092,2015,12.88256002,9.159445175,57377,NA
15093,2015,4.716133118,8.550395052,30825,NA
15094,2015,5.132352247,6.882142808,20050,NA
15095,2015,9.893527473,8.228088469,95292,NA
15096,2015,8.888327101,8.765059923,37112,NA
