"","nomgeo","proyecciones","censo_2020","prediccion","d","year"
"1",15001,69520,67872,68587,1.04,2020
"11",15002,186256,171507,181008,5.25,2020
"12",15003,52173,49266,51319,4,2020
"13",15004,15645,15333,15550,1.4,2020
"14",15005,188124,174587,182790,4.49,2020
"15",15006,12169,12694,11951,6.22,2020
"16",15007,25851,23675,25362,6.65,2020
"17",15008,28414,25244,28176,10.41,2020
"18",15009,54548,53441,53960,0.96,2020
"19",15010,31576,31898,30923,3.15,2020
"110",15011,70016,75489,68763,9.78,2020
"111",15012,12511,12984,12287,5.67,2020
"112",15013,557108,523674,551905,5.12,2020
"113",15014,107378,109384,105294,3.88,2020
"114",15015,32674,31900,31968,0.21,2020
"115",15016,30040,29128,29394,0.9,2020
"116",15017,11081,10053,11238,10.54,2020
"117",15018,60309,68489,59690,14.74,2020
"118",15019,38196,36921,37593,1.79,2020
"119",15020,310743,293444,308580,4.91,2020
"120",15021,41717,38643,41118,6.02,2020
"121",15022,15387,15107,15098,0.06,2020
"122",15023,44201,40885,43667,6.37,2020
"123",15024,175004,178847,169883,5.28,2020
"124",15025,397344,400057,388857,2.88,2020
"125",15026,30328,31737,30096,5.45,2020
"126",15027,12986,12772,12653,0.94,2020
"127",15028,31803,30045,31411,4.35,2020
"128",15029,226911,200750,225925,11.14,2020
"129",15030,27570,27692,27568,0.45,2020
"130",15031,720207,705193,709680,0.63,2020
"131",15032,36158,37436,35468,5.55,2020
"132",15033,1707754,1645352,1700129,3.22,2020
"133",15034,10090,10827,9981,8.48,2020
"134",15035,147326,163244,141071,15.72,2020
"135",15036,46742,46757,45818,2.05,2020
"136",15037,290231,284965,284725,0.08,2020
"137",15038,12512,11929,12295,2.98,2020
"138",15039,551034,542211,550748,1.55,2020
"139",15040,38288,36911,37661,1.99,2020
"140",15041,7283,6475,7142,9.34,2020
"141",15042,163284,160139,161340,0.74,2020
"142",15043,32120,30687,31381,2.21,2020
"143",15044,29179,28217,29112,3.07,2020
"144",15045,94893,87671,93442,6.18,2020
"145",15046,20713,19877,20386,2.5,2020
"146",15047,79263,76826,78385,1.99,2020
"147",15048,70471,69264,69697,0.62,2020
"148",15049,14710,15428,14437,6.86,2020
"149",15050,27241,27116,26848,1,2020
"150",15051,159948,170327,156773,8.65,2020
"151",15052,29515,28155,28713,1.94,2020
"152",15053,61172,61220,59429,3.01,2020
"153",15054,246055,242307,243430,0.46,2020
